id;title;branch_code;trade_title;activation_date;expiration_date;activation_status;lat;address;postal_code;description;party_id
1;تعریف اردن;چاد;sensor ای;2021-05-07;2021-05-07;false;91454;جذاب مصنوعی فیلم;کارپرداز com;بدون سرمایه بین;1
2;جهت مهندس;شبیه دلار آسمانی;متمرکز نفوذ محتوا;2021-05-07;2021-05-08;true;20372;ارتباطات;الگو زیتونی ;کاربرد خراسان;2
3;سیستان;رئیس پژوهش;محصول پاکستان کار;2021-05-08;2021-05-08;true;27811;محتوا;کارت آلمان;گیلان کیفیت صورتحساب;3
4;کردن;مراکش navigating خودرو;Account system مدیره;2021-05-07;2021-05-08;false;70440;مورف navigating صورتحساب;چالش Bucking;SCSI پیشرو Buckinghamshire;4
5;Borders مشتری اینترانت;چیپس گروه;neural دلار;2021-05-08;2021-05-07;true;41786;SMTP تجاری pixel;زنجیره تن;گرانیتی افزایی bypassing;5
6;جبل;پویا reboot ها;برداشت;2021-05-07;2021-05-07;true;88014;مدرس;calculating ;رمزگذاری بنفش هسته;6
7;JBOD;پزو رایانه;تجمیع فلزی تجارت;2021-05-07;2021-05-08;false;25615;ماوس جریان پیکربندی;مدیریت;چالش;7
8;امارات monitor قرمز;بازی ماوس سالاد;هویزه متن گواتمالا;2021-05-07;2021-05-07;true;22904;bypassing generating توگو;Cambridgeshi;کاربردی;8
9;خراسان;آلمان قابل overriding;سرمایه تسهیل شهودی;2021-05-07;2021-05-07;false;31837;خطاپذيری متن خراسان;راهبردی بینا;array;9
10;parse روپی شناسی;firewall کامپیوتر;transmit;2021-05-08;2021-05-07;false;40824;فیجی compressing;ادغام hackin;کارپرداز SSL تازه;10
