id;row_num;title;count;discount;tax;description;food_id;factor_id
1;73269;سرپرست;47398;63729;47666;ها سازی بتنی;1;1
2;14614;دار;17385;18999;45939;العاده زرد ابوذر;2;2
3;57121;سوم;11588;63008;81335;صورتحساب;3;3
4;41456;دست بنفش بیکن;46262;50222;62965;دو;4;4
5;89185;کوچک;37740;13837;49207;هوش;5;5
6;50774;بنفش;30828;65437;60451;گرانیتی;6;6
7;9416;PNG خود;31485;71575;39991;programming دهنده;7;7
8;5344;قرمز بین navigate;25621;56080;66698;دانه تحریک;8;8
9;93932;پیتزا شناسی;61402;60943;87863;خوش;9;9
10;68141;صنعتی;14737;79874;60463;کرون درز پیراهن;10;10
