id;title;food_code;size_class_id;photo;photo_content_type;category_class_id;last_price;description;producer_party_id;food_type_id
1;حساب;نرم;45506;../fake-data/blob/hipster.png;image/png;56830;33552;copy;1;1
2;مدیرعامل;براق پویا پلاستیکی;97026;../fake-data/blob/hipster.png;image/png;83920;85472;اردبیل گرانیتی ارگونومیک;2;2
3;متصدی;microchip SCSI indexing;81841;../fake-data/blob/hipster.png;image/png;44889;84560;باهوش;3;3
4;ظرفیت بازارها;compressing کارفرما الگوریتم;21671;../fake-data/blob/hipster.png;image/png;8799;81885;همگرایی ورد;4;4
5;هرمزگان Buckinghamshire Account;bypassing سرمایه;41997;../fake-data/blob/hipster.png;image/png;75413;45542;استیل connect bluetooth;5;5
6;سبز محور;وام;62829;../fake-data/blob/hipster.png;image/png;87745;35426;زنجیره ابوذر متصدی;6;6
7;متقاعد محور کتان;استفاده گرینلند کتان;88138;../fake-data/blob/hipster.png;image/png;75955;49219;الگو;7;7
8;ایلام 1080p;آبی;46522;../fake-data/blob/hipster.png;image/png;22215;17388;transmitting;8;8
9;تصحیح synthesize ها;امنیت;76025;../fake-data/blob/hipster.png;image/png;35090;96001;قزوین;9;9
10;کاربردی Borders;طلایی;50031;../fake-data/blob/hipster.png;image/png;92138;67678;نرم Borders زده;10;10
